Total time to read binary file: 2.107804s 

Total time to find solution with A_star: 9.438836s 

Node id:46920645 	 | Distance:32775.636134
Node id:46920641 	 | Distance:33898.386047
Node id:46920617 	 | Distance:34624.183594
Node id:46920629 	 | Distance:35227.683134
Node id:46920613 	 | Distance:35770.504508
Node id:1422370776 	 | Distance:36080.811501
Node id:1170456908 	 | Distance:36393.315234
Node id:46920603 	 | Distance:36509.432982
Node id:1422370788 	 | Distance:36716.978643
Node id:420200118 	 | Distance:37156.351814
Node id:46920597 	 | Distance:37306.067660
Node id:420210359 	 | Distance:37454.553296
Node id:374309863 	 | Distance:37553.495746
Node id:374304785 	 | Distance:37570.129559
Node id:374292155 	 | Distance:37676.237711
Node id:46920581 	 | Distance:37795.477733
Node id:374311239 	 | Distance:37905.529663
Node id:374310349 	 | Distance:38071.017239
Node id:374332822 	 | Distance:38122.816324
Node id:46920591 	 | Distance:38797.261102
Node id:663771881 	 | Distance:38856.154132
Node id:663771880 	 | Distance:38892.934099
Node id:46920574 	 | Distance:39543.188676
Node id:420376551 	 | Distance:39786.930086
Node id:420376552 	 | Distance:39962.612103
Node id:46920562 	 | Distance:40440.134082
Node id:420433401 	 | Distance:40789.418781
Node id:46920551 	 | Distance:40997.045117
Node id:420433399 	 | Distance:41324.046729
Node id:504894368 	 | Distance:41793.757258
Node id:504894355 	 | Distance:41984.205159
Node id:46920545 	 | Distance:42072.329545
Node id:1300507865 	 | Distance:42147.649528
Node id:1300507870 	 | Distance:42222.671892
Node id:504894339 	 | Distance:42375.070237
Node id:504894340 	 | Distance:42507.989374
Node id:46920537 	 | Distance:42626.908194
Node id:504894329 	 | Distance:42818.185215
Node id:336906614 	 | Distance:43345.484846
Node id:1134704593 	 | Distance:43488.756836
Node id:46920525 	 | Distance:43595.518006
Node id:1134704682 	 | Distance:43727.443155
Node id:634581243 	 | Distance:43987.497335
Node id:46920511 	 | Distance:44320.688488
Node id:633689808 	 | Distance:44397.891645
Node id:632209935 	 | Distance:44550.291531
Node id:939097568 	 | Distance:45246.784470
Node id:46920492 	 | Distance:45294.671214
Node id:634581141 	 | Distance:45369.110082
Node id:634581137 	 | Distance:45545.372461
Node id:634581113 	 | Distance:45982.203446
Node id:46920484 	 | Distance:46211.585538
Node id:634581072 	 | Distance:46618.365430
Node id:46920461 	 | Distance:46814.358492
Node id:634581068 	 | Distance:46879.633228
Node id:1299717969 	 | Distance:46939.156743
Node id:634581067 	 | Distance:46999.402500
Node id:634581070 	 | Distance:47097.837328
Node id:46920444 	 | Distance:47569.619512
Node id:46920427 	 | Distance:47760.980907
Node id:634581063 	 | Distance:47919.811695
Node id:634581064 	 | Distance:48089.733997
